State,University/College ,Campus,"Student
,,West Point2,,0,0,0,0,0,0,0,0,0,0
,Holmes Community College:,Goodman,"5,145",0,0,0,0,0,3,0,2,1,0
,,Grenada2,,0,0,0,0,0,0,0,0,0,0
,,Ridgeland2,,0,0,0,0,0,0,0,0,0,0
,Jones County Junior College,,"5,809",0,0,0,0,0,2,0,2,0,0
,Mississippi Delta Community College,,"3,064",0,0,0,0,0,0,0,0,0,0
,Mississippi State University,,"25,666",5,0,2,0,3,53,3,47,3,0
,Northeast Mississippi Community College,,"3,970",0,0,0,0,0,6,1,5,0,1
,Northwest Mississippi Community College:,Desoto2,,0,0,0,0,0,0,0,0,0,0
,,Senatobia,"9,175",0,0,0,0,0,4,0,3,1,0
,Pearl River Community College:,Forrest,"6,948",0,0,0,0,0,0,0,0,0,0
,,Poplarville2,,2,0,0,0,2,1,0,1,0,0
,University of Mississippi,Oxford,"23,679",6,0,3,1,2,70,8,59,3,1
MISSOURI,Jefferson College,,"4,479",0,0,0,0,0,0,0,0,0,0
,Metropolitan Community College,,"18,284",0,0,0,0,0,37,1,26,10,0
,Missouri Southern State University,,"5,219",2,0,2,0,0,27,0,26,1,0
,Missouri University of Science and Technology,,"7,812",0,0,0,0,0,51,1,46,4,1
,Northwest Missouri State University,,"9,761",4,0,3,0,1,20,0,20,0,0
,Southeast Missouri State University,,"11,221",5,0,2,0,3,26,3,21,2,0
,St. Charles Community College,,"8,226",0,0,0,0,0,0,0,0,0,0
,St. Louis Community College,Meramec,"22,035",0,0,0,0,0,24,0,22,2,0
,Truman State University,,"4,524",0,0,0,0,0,34,1,32,1,0
,University of Central Missouri,,"15,077",4,0,1,1,2,30,3,23,4,0
,University of Missouri:,Columbia,"34,122",17,0,9,0,8,200,7,181,12,1
,,Kansas City,"18,325",3,0,0,1,2,69,9,39,21,0
,Washington University,,"18,783",0,0,0,0,0,89,1,82,6,0
MONTANA,Montana State University,,"18,880",3,0,1,0,2,137,2,134,1,2
,Montana State University,Billings,"5,403",1,0,1,0,0,20,2,18,0,0
,University of Montana,,"12,318",7,0,1,0,6,93,0,87,6,0
NEBRASKA,Metropolitan Community College,Douglas County,"20,852",0,0,0,0,0,32,2,29,1,0
,University of Nebraska:,Kearney,"7,567",2,0,1,0,1,28,2,26,0,0
,,Lincoln,"26,722",10,0,6,1,3,128,4,117,7,0
,,Omaha,"18,020",5,0,2,2,1,128,0,114,14,0
NEVADA,University of Nevada,Reno,"23,185",5,0,3,0,2,235,7,209,19,0
NEW HAMPSHIRE,Plymouth State University,,"4,706",0,0,0,0,0,24,0,24,0,0
,University of New Hampshire,,"15,134",2,0,2,0,0,70,8,60,2,0
NEW JERSEY,Monmouth University,,"6,034",0,0,0,0,0,9,0,4,5,0
,New Jersey Institute of Technology,,"13,649",5,0,2,1,2,76,6,59,11,0
,Princeton University,,"8,631",2,0,1,0,1,206,9,163,34,0
,Rowan University,,"22,080",8,0,1,0,7,83,2,81,0,0
,Rutgers University:,Camden,"7,470",9,0,0,2,7,60,0,58,2,0
,,Newark,"14,168",10,0,1,5,4,159,6,124,29,0
,,New Brunswick,"56,603",21,0,10,3,8,307,37,265,5,1
,Stevens Institute of Technology,,"9,111",0,0,0,0,0,19,1,18,0,0
,Stockton University,,"11,602",2,0,2,0,0,41,0,40,1,0
,The College of New Jersey,,"8,566",1,0,1,0,0,34,4,28,2,0
NEW MEXICO,New Mexico Institute of Mining and Technology,,"2,000",0,0,0,0,0,26,4,21,1,0
,New Mexico State University,,"15,892",10,0,3,0,7,167,13,132,22,2
,University of New Mexico,,"23,914",45,0,5,3,37,484,35,370,79,3
NEW YORK,Cornell University,,"26,304",3,0,3,0,0,249,16,233,0,9
,Ithaca College,,"5,679",5,0,5,0,0,72,9,63,0,0
,State University of New York Police:,Albany,"19,585",3,0,0,0,3,119,3,115,1,0
,,Alfred,"3,796",6,0,3,0,3,25,0,25,0,0
,,Binghamton,"19,938",2,0,2,0,0,141,4,137,0,0
,,Brockport,"8,150",0,0,0,0,0,21,2,18,1,0
,,Buffalo,"35,908",4,0,2,0,2,197,10,172,15,2
,,Buffalo State College,"8,231",4,0,2,0,2,108,6,84,18,1
,,Canton,"4,151",1,0,1,0,0,9,1,8,0,0
,,Cobleskill,"2,067",1,0,1,0,0,6,0,6,0,0
,,Cortland,"7,626",1,0,1,0,0,38,4,34,0,0
,,Delhi,"2,980",0,0,0,0,0,19,2,17,0,0
,,Downstate Medical ,"2,522",2,0,0,0,2,27,0,27,0,0
,,Environmental Science ,"2,214",0,0,0,0,0,16,0,16,0,0
,,Geneseo,"4,941",3,0,2,0,1,42,1,41,0,0
,,Maritime ,"1,895",0,0,0,0,0,4,1,3,0,0
,,New Paltz,"8,168",1,0,0,0,1,29,0,29,0,0
,,Old Westbury,"5,407",2,0,1,0,1,24,5,18,1,0
,,Oneonta,"6,354",0,0,0,0,0,33,0,32,1,1
,,Optometry,409,0,0,0,0,0,1,0,1,0,0
,,Oswego,"8,104",2,0,1,0,1,50,3,47,0,0
,,Plattsburgh,"5,461",1,0,1,0,0,41,0,41,0,0
,,Potsdam,"2,978",0,0,0,0,0,13,0,13,0,0
,,Upstate Medical,"1,637",6,0,1,1,4,82,2,73,7,0
NORTH CAROLINA,Duke University,,"18,357",4,0,0,1,3,396,11,362,23,0
,East Carolina University,,"31,263",5,0,5,0,0,169,9,160,0,0
,Elon University,,"7,446",5,0,3,0,2,24,3,20,1,0
,Fayetteville State University,,"8,294",5,0,2,1,2,15,3,9,3,0
,Methodist University,,"2,077",2,0,2,0,0,20,6,12,2,0
,North Carolina Agricultural and Technical State University,,"14,642",12,0,5,2,5,101,18,79,4,0
,North Carolina Central University,,"8,824",8,0,5,0,3,60,8,43,9,0
,North Carolina State University,Raleigh,"40,469",11,0,3,0,8,232,35,189,8,1
,University of North Carolina:,Asheville,"3,698",2,0,1,0,1,21,5,15,1,0
,,Chapel Hill,"34,015",12,1,4,2,5,288,13,207,68,0
,,Charlotte,"33,944",4,0,1,1,2,175,0,168,7,0
,,Greensboro,"20,975",10,0,6,1,3,127,5,116,6,0
,,Pembroke,"9,949",1,0,1,0,0,34,9,22,3,0
,Western Carolina University,,"13,551",11,0,9,1,1,65,17,48,0,3
NORTH DAKOTA,Bismarck State College,,"4,609",0,0,0,0,0,9,0,9,0,0
,North Dakota State College of Science,,"3,456",1,0,1,0,0,8,0,8,0,0
,North Dakota State University,,"13,753",6,0,5,0,1,109,3,103,3,0
,University of North Dakota,,"16,981",2,0,1,0,1,65,8,57,0,0
OHIO,Bowling Green State University,,"20,707",2,0,1,1,0,71,4,61,6,0
,Capital University,,"4,028",1,0,0,0,1,16,6,10,0,1
,Columbus State Community College,,"42,083",0,0,0,0,0,37,0,25,12,0
,Kent State University,,"30,961",6,0,3,0,3,134,1,133,0,0
,Ohio State University,Columbus,"66,817",27,0,6,6,15,626,34,496,96,3
,Ohio University,,"28,464",5,0,3,0,2,91,9,74,8,1
,University of Akron,,"16,571",4,0,3,1,0,63,1,53,9,0
,University of Cincinnati,,"47,930",11,0,6,0,5,200,21,141,38,0
,University of Toledo,,"18,845",4,0,1,1,2,93,3,79,11,0
OKLAHOMA,Cameron University,,"4,253",0,0,0,0,0,5,0,5,0,0
,Carl Albert State College:,Poteau,"2,218",1,0,1,0,0,3,1,1,1,0
,,Sallisaw2,,0,0,0,0,0,0,0,0,0,0
,East Central University,,"4,142",0,0,0,0,0,10,1,9,0,0
,Eastern Oklahoma State College,,"1,668",0,0,0,0,0,1,1,0,0,0
,Langston University,,"2,186",3,0,1,0,2,36,4,31,1,0
,Northeastern Oklahoma A&M College,,"2,228",0,0,0,0,0,1,0,1,0,0
,Northeastern State University,Tahlequah,"8,388",3,0,0,0,3,11,1,6,4,0
,Northwestern Oklahoma State University,,"2,168",1,0,1,0,0,0,0,0,0,0
,Oklahoma City Community College,,"16,315",1,0,0,1,0,9,0,9,0,0
,Oklahoma City University,,"2,912",0,0,0,0,0,26,8,18,0,0
,Oklahoma Panhandle State University,,"1,675",1,0,0,0,1,1,0,1,0,0
,Oklahoma State University:,Main Campus,"27,223",10,0,5,1,4,127,18,105,4,0
,,Okmulgee,"3,012",0,0,0,0,0,20,0,18,2,0
,,Tulsa,"1,474",0,0,0,0,0,2,1,0,1,0
,Rogers State University,,"3,854",1,0,0,0,1,1,0,1,0,0
,Seminole State College,,"1,951",2,0,1,0,1,1,0,1,0,0
,Southeastern Oklahoma State University,,"7,251",0,0,0,0,0,6,3,3,0,0
,Southern Nazarene University,,"2,819",0,0,0,0,0,5,1,4,0,0
,Southwestern Oklahoma State University,,"5,647",0,0,0,0,0,3,0,3,0,0
,Tulsa Community College,,"20,199",1,0,0,0,1,18,1,16,1,1
,University of Central Oklahoma,,"15,469",1,0,1,0,0,22,3,19,0,0
,University of Oklahoma:,Health Sciences Center,"3,452",4,0,1,1,2,95,2,84,9,1
,,Norman,"31,604",2,0,1,0,1,224,11,182,31,0
OREGON,Oregon State University,,"39,950",1,0,0,1,0,288,13,267,8,2
,Portland State University,,"27,510",7,0,1,3,3,253,46,177,30,2
PENNSYLVANIA,Albright University,,"1,863",2,0,1,1,0,6,1,3,2,0
,Allegheny College,,"1,682",0,0,0,0,0,12,1,11,0,0
,Allegheny County Community College,,"18,819",0,0,0,0,0,0,0,0,0,0
,Bucknell University,,"3,847",5,0,5,0,0,56,0,56,0,0
,Butler County Community College,,"3,442",0,0,0,0,0,1,0,1,0,0
,California University2,,,0,0,0,0,0,5,0,5,0,0
,Carlow University,,"2,345",0,0,0,0,0,0,0,0,0,0
,Chatham University,,"2,786",0,0,0,0,0,0,0,0,0,0
,DeSales University ,,"3,988",0,0,0,0,0,0,0,0,0,0
,Drexel University ,,"26,386",37,0,6,20,11,355,16,265,74,0
,Duquesne University,,"9,161",3,0,1,0,2,38,1,37,0,0
,East Stroudsburg University,,"5,853",4,0,0,1,3,46,0,46,0,1
,Franklin and Marshall College,,"2,198",7,0,4,0,3,29,3,24,2,0
,Gannon University,,"5,202",0,0,0,0,0,12,1,11,0,0
,Indiana University,Punxsutawney2,,0,0,0,0,0,0,0,0,0,0
,Juniata College,,"1,398",0,0,0,0,0,3,0,3,0,0
,Lackawanna College,Scranton,"4,239",0,0,0,0,0,0,0,0,0,0
,Lafayette College ,,"2,762",0,0,0,0,0,35,9,25,1,0
,Lehigh University,,"7,696",5,0,2,1,2,71,5,66,0,0
,Lincoln University,,"2,051",7,0,1,0,6,12,4,8,0,0
,Lock Haven University2,,,2,0,2,0,0,13,3,9,1,0
,Luzerne County Community College,,"6,306",0,0,0,0,0,0,0,0,0,0
,Mansfield University2,,,0,0,0,0,0,4,0,4,0,0
,Mercyhurst University ,,"3,520",2,0,1,0,1,17,0,17,0,0
,Moravian College,,"2,957",0,0,0,0,0,24,6,18,0,0
,Mount Aloysius University ,,"2,924",0,0,0,0,0,0,0,0,0,0
,Pennsylvania College of Technology,,"4,516",5,0,2,2,1,50,3,46,1,0
,Pennsylvania State University:,Carlisle2,,0,0,0,0,0,0,0,0,0,0
,,Fayette,559,0,0,0,0,0,0,0,0,0,0
,,New Kensington,597,0,0,0,0,0,2,0,2,0,0
,,York,829,1,0,0,1,0,1,0,1,0,0
,Point Park University,,"4,171",1,0,0,0,1,0,0,0,0,0
,Robert Morris University,,"5,387",0,0,0,0,0,0,0,0,0,0
,Saint Francis University,,"3,413",2,0,2,0,0,6,1,5,0,0
,Temple University,,"38,470",29,0,1,18,10,224,6,199,19,1
,Thiel College,,882,2,0,2,0,0,1,0,1,0,0
,University of Pittsburgh:,Bradford,"2,266",1,0,1,0,0,0,0,0,0,0
,,Greensburg,"1,475",0,0,0,0,0,5,1,4,0,0
,,Pittsburgh,"36,128",4,0,1,1,2,103,0,102,1,0
,University of Scranton,,"5,183",4,0,3,0,1,36,0,35,1,0
,Villanova University,,"12,034",11,0,9,0,2,57,5,52,0,0
,Wilkes University,,"7,263",1,0,1,0,0,11,0,11,0,0
RHODE ISLAND,Brown University,,"11,151",0,0,0,0,0,93,7,62,24,0
,University of Rhode Island,,"20,793",2,0,0,0,2,43,5,38,0,0
SOUTH CAROLINA,Clemson University,,"30,368",7,0,1,0,6,146,8,120,18,1
,Coastal Carolina University,,"11,562",10,0,8,0,2,90,3,84,3,0
,College of Charleston,,"12,549",1,0,1,0,0,35,4,30,1,0
,Francis Marion University,,"4,501",5,0,3,0,2,10,2,8,0,0
,Lander University,,"4,369",3,0,2,0,1,20,1,19,0,0
,Medical University of South Carolina,,"3,756",9,0,1,2,6,88,3,81,4,0
,University of South Carolina:,Beaufort,"2,474",0,0,0,0,0,8,0,8,0,0
,,Columbia,"38,614",3,0,2,0,1,136,15,109,12,1
,,Upstate,"6,590",1,0,1,0,0,9,0,9,0,0
,Winthrop University,,"6,071",1,0,0,0,1,20,0,19,1,0
,York Technical College,,"5,548",0,0,0,0,0,0,0,0,0,0
SOUTH DAKOTA,South Dakota State University,,"13,726",0,0,0,0,0,28,0,25,3,0
TENNESSEE,East Tennessee State University,,"15,096",6,0,1,0,5,63,7,55,1,0
,Middle Tennessee State University,,"28,573",3,0,2,1,0,66,0,65,1,0
,Tennessee State University,,"8,976",1,0,0,0,1,29,4,24,1,0
,Tennessee Technological University,,"10,804",1,0,1,0,0,36,1,33,2,0
,University of Memphis,,"25,394",13,0,2,3,8,183,7,104,72,0
,University of Tennessee:,Chattanooga,"12,384",1,0,0,1,0,102,6,93,3,1
,,Knoxville,"34,640",4,0,2,0,2,93,15,71,7,0
,,Martin,"7,803",3,0,2,0,1,22,1,20,1,0
,University of the South,,"1,954",1,0,1,0,0,21,5,15,1,0
,Vanderbilt University,,"14,770",22,0,7,4,11,384,7,333,44,0
TEXAS,Alvin Community College,,"7,327",0,0,0,0,0,0,0,0,0,0
,Angelo State University,,"12,438",1,0,1,0,0,26,0,24,2,0
,Austin College,,"1,242",0,0,0,0,0,0,0,0,0,0
,Austin Community College District,,"56,531",0,0,0,0,0,71,6,57,8,1
,Baylor Health Care System2,,,7,0,3,3,1,332,8,287,37,0
,Brazosport College,,"5,599",0,0,0,0,0,1,0,0,1,0
,Central Texas College,,"16,868",0,0,0,0,0,9,2,7,0,0
,Cisco College,,"4,101",0,0,0,0,0,0,0,0,0,0
,Collin County Community College District,,"48,588",1,0,1,0,0,7,1,6,0,0
,Concordia University,,"2,657",0,0,0,0,0,1,1,0,0,0
,Dallas College,,"102,680",0,0,0,0,0,0,0,0,0,0
,El Paso Community College,,"32,410",0,0,0,0,0,10,0,10,0,0
,Grayson College,,"4,541",1,0,0,0,1,0,0,0,0,0
,Hardin-Simmons University,,"2,067",2,0,2,0,0,20,0,19,1,0
,Houston Community College,,"67,107",5,0,1,0,4,60,0,47,13,0
,Kilgore College,,"6,799",0,0,0,0,0,6,3,3,0,0
,Lamar University,Beaumont,"22,229",7,0,5,0,2,33,8,24,1,0
,Lone Star College System District ,,"102,966",0,0,0,0,0,45,7,33,5,0
,Lubbock Christian University,,"1,829",0,0,0,0,0,3,0,3,0,0
,McLennan Community College,,"11,299",0,0,0,0,0,1,1,0,0,0
,Midwestern State University,,"6,707",2,0,1,0,1,16,2,14,0,0
,Navarro College,,"8,319",2,0,2,0,0,15,1,14,0,0
,Odessa College,,"11,358",0,0,0,0,0,2,0,2,0,0
,Panola College,,"3,634",0,0,0,0,0,1,0,1,0,0
,Paris Junior College,,"6,246",0,0,0,0,0,2,0,2,0,0
,Prairie View A&M University,,"10,246",10,1,7,0,2,75,11,53,11,2
,Rice University,,"8,782",1,0,0,1,0,212,12,125,75,0
,Sam Houston State University,,"24,043",4,0,4,0,0,88,14,68,6,0
,San Jacinto College,Central Campus,"41,689",0,0,0,0,0,25,0,25,0,0
,Southern Methodist University,,"13,610",1,0,0,1,0,182,21,141,20,1
,South Plains College,,"12,020",0,0,0,0,0,0,0,0,0,0
,Southwestern Christian College,,112,0,0,0,0,0,0,0,0,0,0
,Southwestern University,,"1,543",0,0,0,0,0,21,4,17,0,0
,St. Edwards University,,"3,908",0,0,0,0,0,0,0,0,0,0
,Stephen F. Austin State University,,"13,470",2,0,2,0,0,42,2,39,1,0
,St. Mary's University,,"3,646",3,0,2,0,1,48,5,35,8,0
,Sul Ross State University,,"2,560",3,0,2,0,1,10,8,2,0,0
,Tarleton State University,,"16,049",5,0,5,0,0,39,2,36,1,0
,Texas A&M International University,,"10,080",0,0,0,0,0,1,1,0,0,0
,Texas A&M University:,College Station,"77,096",11,0,6,1,4,426,14,311,101,1
,,Commerce,"14,124",2,0,2,0,0,53,5,48,0,0
,,Galveston2,,0,0,0,0,0,0,0,0,0,0
,,San Antonio,"8,127",1,0,1,0,0,7,1,6,0,0
,Texas Christian University,,"12,513",5,0,5,0,0,54,6,46,2,0
,Texas State Technical College:,Harlingen2,,0,0,0,0,0,4,1,3,0,0
,,Sweetwater2,,0,0,0,0,0,1,0,1,0,0
,,Waco,"13,539",0,0,0,0,0,31,4,22,5,1
,Texas State University,San Marcos,"41,900",26,0,10,10,6,168,29,133,6,2
,Texas Tech University,Lubbock,"43,709",20,0,3,1,16,225,9,168,48,0
,Texas Woman's University,,"20,212",4,0,2,0,2,20,0,19,1,0
,Trinity Valley Community College,,"7,732",1,0,1,0,0,1,0,1,0,0
,Tyler Junior College,,"15,974",4,0,1,0,3,27,2,25,0,0
,University of Houston:,Clearlake,"11,375",1,0,0,0,1,22,0,22,0,0
,,Downtown Campus,"18,523",1,0,0,0,1,17,0,16,1,0
,University of North Texas:,Denton,"49,386",9,0,9,0,0,196,13,172,11,0
,,Health Science Center,"2,657",0,0,0,0,0,4,0,4,0,0
,University of St. Thomas ,,"4,329",2,0,0,1,1,20,0,20,0,1
,University of Texas:,Arlington,"56,971",5,0,3,0,2,150,15,131,4,0
,,Austin,"55,143",14,0,3,5,6,558,19,518,21,3
,,Dallas,"32,827",2,0,0,0,2,82,0,78,4,0
,,El Paso,"28,582",1,0,0,0,1,62,12,44,6,1
,,"Health Science Center, San Antonio","4,127",0,0,0,0,0,46,6,39,1,0
,,Houston,"7,334",6,0,0,0,6,247,15,215,17,0
,,Medical Branch,"4,917",3,0,1,1,1,63,2,60,1,0
,,Permian Basin,"6,932",2,0,1,0,1,19,5,8,6,0
,,Rio Grande Valley,"44,498",2,0,2,0,0,59,1,57,1,0
,,San Antonio,"38,907",6,0,3,0,3,159,3,139,17,0
,,Southwestern Medical School,"2,588",4,0,1,0,3,218,1,192,25,1
,,Tyler,"11,703",1,0,0,0,1,22,1,21,0,0
,West Texas A&M University,,"10,993",0,0,0,0,0,23,2,21,0,0
UTAH,Brigham Young University,,"39,321",2,0,1,0,1,109,2,106,1,0
,Dixie State University,,"14,408",0,0,0,0,0,19,1,17,1,0
,Southern Utah University,,"19,907",1,0,1,0,0,29,1,26,2,0
,University of Utah,,"40,039",13,0,6,2,5,278,23,242,13,0
,Utah State University,Logan,"32,943",3,0,1,0,2,40,1,38,1,0
,Utah Valley University,,"53,853",0,0,0,0,0,29,1,28,0,1
VERMONT,University of Vermont,,"15,878",2,0,1,0,1,113,0,112,1,0
VIRGINIA,Christopher Newport University,,"4,771",8,0,5,1,2,61,2,56,3,0
,College of William and Mary,,"10,550",1,0,1,0,0,75,0,75,0,0
,Eastern Virginia Medical School,,"1,445",1,0,0,0,1,39,0,39,0,0
,Emory & Henry College,,"1,534",0,0,0,0,0,2,0,2,0,0
,George Mason University,,"46,892",7,0,2,1,4,92,1,90,1,0
,James Madison University,,"24,028",8,0,3,0,5,103,2,88,13,2
,Laurel Ridge Community College,,"7,611",0,0,0,0,0,0,0,0,0,0
,Norfolk State University,,"6,011",4,0,3,0,1,40,1,36,3,0
,Northern Virginia Community College,,"69,149",0,0,0,0,0,24,1,23,0,1
,Old Dominion University,,"27,417",41,0,4,2,35,199,14,175,10,1
,Radford University,,"9,982",4,0,2,0,2,27,0,26,1,0
,Southwest Virginia Community College,,"2,854",0,0,0,0,0,0,0,0,0,0
,University of Mary Washington,,"4,385",0,0,0,0,0,20,0,20,0,0
,University of Richmond,,"4,412",1,0,1,0,0,43,3,39,1,0
,University of Virginia,,"28,973",8,1,3,2,2,314,3,236,75,2
,Virginia Commonwealth University,,"31,390",15,0,0,5,10,329,5,309,15,2
,Virginia Highlands Community College,,"3,071",0,0,0,0,0,0,0,0,0,0
,Virginia Polytechnic Institute and State University,,"39,462",11,0,6,1,4,299,15,280,4,2
WASHINGTON,Eastern Washington University,,"16,041",1,0,0,0,1,32,10,20,2,0
,University of Washington,,"57,530",12,0,1,4,7,806,81,621,104,2
,Washington State University:,Pullman,"33,249",8,0,5,1,2,88,15,71,2,0
,,Vancouver2,,0,0,0,0,0,2,0,2,0,0
,Western Washington University,,"16,754",6,0,4,1,1,87,7,64,16,2
WEST VIRGINIA,Bridge Valley Technical College2,,,0,0,0,0,0,0,0,0,0,0
,Marshall University,,"12,515",10,0,2,0,8,66,14,52,0,0
,Shepherd University,,"4,855",0,0,0,0,0,4,0,4,0,0
WISCONSIN,Marquette University,,"12,136",58,0,6,17,35,467,51,295,121,1
,University of Wisconsin:,Eau Claire,"11,504",4,0,4,0,0,33,0,33,0,0
,,Green Bay,"11,918",0,0,0,0,0,12,1,11,0,0
,,Madison,"51,296",7,0,1,0,6,273,10,262,1,1
,,Milwaukee,"27,575",4,0,2,1,1,48,14,30,4,0
,,Oshkosh,"16,301",4,0,3,0,1,40,2,37,1,0
,,Platteville,"7,619",0,0,0,0,0,22,2,20,0,1
,,River Falls,"6,138",0,0,0,0,0,16,0,16,0,0
,,Stevens Point,"9,129",3,0,3,0,0,54,1,53,0,1
,,Superior,"3,251",0,0,0,0,0,10,2,8,0,0
,,Whitewater,"13,327",6,0,5,0,1,22,0,22,0,0
WYOMING,University of Wyoming,,"12,873",0,0,0,0,0,69,7,59,3,0
"1 The student enrollment figures provided by the United States Department of Education are for the 2022 school year, the most recent available. The enrollment figures include full-time and part-time students.  ",,,,,,,,,,,,,
2 Student enrollment figures were not available.,,,,,,,,,,,,,
3 Limited data for 2023 were available for Florida.,,,,,,,,,,,,,
"NOTE:  Caution should be exercised in making any intercampus comparisons or ranking schools because university/college crime statistics are affected by a variety of factors. These include demographic characteristics of the surrounding community, ratio of male to female students, number of on-campus residents, accessibility of the campus to outside visitors, size of enrollment, etc. ",,,,,,,,,,,,,